"topics", "coherence"
2, 0.1007220070031
3, 0.174964522426447
4, 0.130068473576045
5, 0.209709588843888
6, 0.251409289155383
7, 0.19106706932876
8, 0.227542727121658
9, 0.278497882010929
10, 0.239479505376046
11, 0.230669008010498
12, 0.219317479471946
13, 0.214649282850093
14, 0.226758832131791
15, 0.237713339141444
